E1,px1,py1,pz1,E2,px2,py2,pz2,M,Class
62.4479,1.6507,34.5585,-51.9877,36.7496,-20.7817,-17.2892,24.8946,91.8797,1
38.5259,-38.4827,1.1878,-1.385,65.2956,34.4713,-1.581,-55.4324,86.8012,1
95.4283,48.591,-3.948,-82.0359,62.3948,-35.74,-32.5317,-39.4646,93.0045,1
83.4953,45.0669,-43.6177,55.1174,72.6743,-30.8065,-8.9218,65.2144,83.3393,1
298.435,-38.0649,46.968999999999994,-292.2472,154.6958,40.9773,-10.2765,-148.8155,97.1413,1
87.3933,22.2917,-34.536,77.1228,181.5842,-24.6464,32.8849,176.8727,88.4696,1
222.5569,-51.8865,-10.1928,216.1839,159.8504,41.8119,17.0828,153.3365,97.6782,1
147.76,56.0261,102.0471,90.9972,90.8297,27.4271,-0.7147,86.5868,90.3121,1
111.4353,-40.2801,23.2048,101.2762,91.7595,30.0593,-34.8729,79.3733,91.7237,1
268.7853,13.344000000000001,-56.5526,-262.4296,133.937,-19.1618,33.3628,-128.2922,94.6055,1
50.1804,23.6315,38.6392,-21.6018,63.3584,-18.9868,-24.464000000000002,-55.2747,82.2104,1
112.6722,42.2375,51.3786,-90.9464,66.7556,-43.53,33.4183,-38.0088,91.5024,1
80.4025,36.7244,3.7238,71.4284,32.8951,-30.4081,-12.5288,0.6851,86.7097,1
105.2307,38.6866,13.2256,-96.9636,46.3866,-36.0097,-15.2382,-24.9564,90.0673,1
69.928,-29.3304,37.14,51.4808,53.0052,27.3605,-37.1663,26.0695,95.3658,1
119.0756,-44.193000000000005,-13.4938,109.7446,62.1596,38.3457,17.0703,45.8478,92.6832,1
51.0239,-28.0928,8.2899,41.7793,52.0386,-22.6535,17.4888,-43.4624,85.90299999999999,1
124.102,-26.3882,29.5684,-117.6039,37.2752,14.44,-31.3612,-14.0502,92.541,1
243.0892,-30.6874,35.1321,238.5715,167.9555,27.6089,-30.3423,162.8684,88.1546,1
67.2936,53.6631,34.369,21.6211,93.8241,-8.1148,21.1934,91.0382,90.0276,1
149.4764,16.055999999999997,59.7842,-136.056,171.2805,47.7759,-27.991999999999997,-162.083,94.4076,1
64.8689,37.8488,-20.3793,-48.5811,133.9372,-32.859,13.4747,-129.143,88.6875,1
58.3456,45.8139,4.6867,35.8236,53.9259,-45.7163,-4.0837,28.3082,92.1501,1
161.2333,21.8796,-57.2983,149.1119,75.4071,-26.6632,20.639,67.4488,87.9395,1
68.8611,33.8692,40.516,-44.1948,83.6923,-28.0093,-23.6935,-75.223,93.2447,1
194.575,-107.7174,36.7685,-157.8114,154.4286,-50.17100000000001,101.5877,-104.9333,93.2603,1
185.2356,23.0244,42.2192,-178.8845,113.5976,-20.9787,-36.5639,-105.4865,91.6423,1
