E1,px1,py1,pz1,pt1,eta1,phi1,E2,px2,py2,pz2,pt2,eta2,phi2,M,Class
176.2609,-45.5427,26.2724,-168.2365,52.5773,-1.8798,2.6184,21.0526,18.492,-10.0526,0.4462,21.0478,0.0212,2.6184,98.9151,1
93.4451,-15.7289,-18.756,90.1821,24.4783,2.0151,-2.2686,25.8773,21.735,2.9965,-13.7202,21.9406,-0.5904,-2.2686,90.0388,1
113.4251,16.7348,-49.4768,100.6839,52.2304,1.4108,-1.2446,50.3061,-29.7924,25.8125,31.2543,39.4192,0.7271,-1.2446,93.1113,1
75.2025,-17.1294,36.8291,-63.29,40.6177,-1.2266,2.0061,38.3632,33.5743,-18.4212,2.2717,38.2959,0.0593,2.0061,92.5455,1
46.3018,-23.6935,21.2583,33.6238,31.8323,0.9206,2.4103,88.6661,9.9259,-24.663,84.5866,26.5854,1.8744,2.4103,63.5727,1
98.9778,31.1012,-48.8146,80.2899,57.8805,1.1305,-1.0035,47.5121,7.5856,37.0602,28.7472,37.8286,0.7011,-1.0035,89.0808,1
113.3218,37.5072,-6.1235,-106.7592,38.0038,-1.7563,-0.1618,52.3742,-30.2493,7.1248,-42.1578,31.076999999999998,-1.1125,-0.1618,72.2856,1
176.8646,40.8404,-11.4862,171.7009,42.4249,2.1061,-0.2742,76.2064,-38.5469,8.722999999999999,65.1572,39.5216,1.2745,-0.2742,89.052,1
58.1034,46.3354,-31.4074,-15.5758,55.9768,-0.2748,-0.5957,55.5457,-24.548000000000002,-17.2936,46.7296,30.0279,1.2255,-0.5957,95.3891,1
69.0937,28.9533,30.3707,-54.8932,41.9603,-1.0835,0.8093,32.7511,-30.2174,-2.3708,12.4065,30.3103,0.3987,0.8093,88.2136,1
53.7901,46.5762,-25.1678,9.5188,52.9411,0.1788,-0.4954,40.7515,-30.052,18.5792,-20.3072,35.3314,-0.5471,-0.4954,92.22399999999999,1
43.7633,25.1785,21.5163,28.6063,33.1196,0.7817,0.7071,92.196,-10.6097,-27.6355,87.3145,29.6022,1.8024,0.7071,69.2648,1
30.2415,25.4598,14.9357,6.5782,29.5174,0.2211,0.5305,85.4821,-18.5551,-18.7818,81.3028,26.4017,1.8433,0.5305,74.876,1
114.86200000000001,-35.0796,-18.5788,107.7847,39.6957,1.7243,-2.6545,33.1678,31.9493,-0.2251,-8.9049,31.9501,-0.2752,-2.6545,108.5,1
66.8144,-48.3223,-13.3151,44.1795,50.1232,0.795,-2.8727,34.8245,22.4651,-21.9561,-15.0331,31.4126,-0.462,-2.8727,86.9959,1
106.6071,23.6918,38.5565,-96.5254,45.2538,-1.5016,1.0198,165.0151,-19.9309,-34.9471,-160.0358,40.2311,-2.0893,1.0198,89.0381,1
50.2549,14.9185,-37.065,30.4824,39.9546,0.7035,-1.1881,24.9115,-19.2132,10.9405,11.4778,22.1098,0.4983,-1.1881,56.4658,1
48.8126,47.8177,-5.6472,-8.015,48.15,-0.1657,-0.1176,54.3753,-40.2338,-14.0519,33.7706,42.6171,0.7267,-0.1176,97.6668,1
93.2574,24.0356,29.5588,85.1206,38.0977,1.5438,0.8881,37.6453,18.4351,-32.7247,-2.5323,37.5601,-0.0674,0.8881,92.2005,1
100.0061,12.7291,43.9356,-88.9317,45.7424,-1.4184,1.2888,108.5693,-12.5119,-41.2254,-99.6555,43.0823,-1.5755,1.2888,89.0571,1
85.6227,28.5658,-32.0215,74.0936,42.9113,1.3143,-0.8424,41.1205,-21.7537,31.3611,15.3022,38.1673,0.3909,-0.8424,89.5846,1
62.628,57.9655,-11.4613,20.7583,59.0877,0.3445,-0.1952,35.0925,-32.6038,12.9334,1.0959,35.0753,0.0312,-0.1952,91.7949,1
57.6228,22.6786,10.1909,51.9829,24.863000000000003,1.4835,0.4223,38.4299,-20.3751,-7.8741,-31.6182,21.8437,-1.1653,0.4223,93.8123,1
34.0344,32.7374,-7.4569,-5.5672,33.576,-0.1651,-0.22399999999999998,56.4777,-31.0783,9.9159,46.1036,32.6219,1.1457,-0.22399999999999998,80.873,1
36.6921,0.0739,-36.5422,3.3127,36.5423,0.0905,-1.5688,86.9799,14.6794,32.0106,79.5319,35.216,1.5536,-1.5688,90.51700000000001,1
117.7629,-50.2973,14.0866,-105.5454,52.2327,-1.4528,2.8685,236.7181,6.5186,-48.8315,-231.535,49.2647,-2.2518,2.8685,94.3915,1
42.4275,-39.6793,-3.9432,14.4948,39.8747,0.3559,-3.0425,97.1536,34.1505,4.8441,90.8246,34.4923,1.6956,-3.0425,91.4295,1
170.8645,-19.0449,-24.6586,167.9998,31.1569,2.3866,-2.2284,22.7394,21.4528,7.3553,1.6604,22.6787,0.0732,-2.2284,91.6116,1
38.6453,-12.0374,17.1442,32.4751,20.9481,1.2223,2.1829,52.2583,12.3896,-16.8045,-47.9065,20.8781,-1.5681,2.1829,89.5828,1
43.0419,37.5269,19.6772,-7.5595,42.3729,-0.1775,0.4829,63.9993,-10.7725,-33.3932,53.5234,35.0878,1.2088,0.4829,91.8761,1
59.0273,-34.6182,47.1769,7.7556,58.5156,0.1322,2.2038,31.5563,15.0643,-27.6976,1.3069,31.5292,0.0414,2.2038,85.79899999999999,1
62.4479,1.6507,34.5585,-51.9877,34.5979,-1.1962,1.5231,36.7496,-20.7817,-17.2892,24.8946,27.0332,0.8243,1.5231,91.8797,1
