E1,pt1,eta1,phi1,E2,pt2,eta2,phi2,Rapidity,Pt,Class
69.928,47.325,0.9421,2.2392,53.0052,46.1512,0.5385,2.2392,0.7428,1.9701,1
119.0756,46.2072,1.5998,-2.8452,62.1596,41.9736,0.9452,-2.8452,1.2877,6.8544,1
51.0239,29.2904,1.1532,2.8546,52.0386,28.6189,-1.2051,2.8546,-0.0163,56.9186,1
124.102,39.6311,-1.8081,2.2994,37.2752,34.5259,-0.3965,2.2994,-1.1442,12.082,1
243.0892,46.6474,2.3346,2.2888,167.9555,41.0232,2.0874,2.2888,2.2189,5.6937,1
67.2936,63.7257,0.3331,0.5696,93.8241,22.6938,2.0975,0.5696,0.8658,71.8459,1
149.4764,61.9027,-1.5288,1.3084,171.2805,55.3723,-1.7952,1.3084,-1.6546,71.3109,1
64.8689,42.9866,-0.9705,-0.4939,133.9372,35.5145,-2.0025,-0.4939,-1.4413,8.519,1
58.3456,46.053,0.7153,0.1019,53.9259,45.8983,0.5831,0.1019,0.6493,0.6109,1
161.2333,61.3336,1.6214,-1.206,75.4071,33.7179,1.4438,-1.206,1.5583,36.9701,1
68.8611,52.8078,-0.7612,0.8745,83.6923,36.6865,-1.466,0.8745,-1.0525,17.8139,1
194.575,113.8199,-1.1301,2.8127,154.4286,113.3014,-0.8282,2.8127,-0.9795,209.9314,1
185.2356,48.0893,-2.0244,1.0715,113.5976,42.1548,-1.6481,1.0715,-1.8485,6.0139,1
53.0486,53.0023,0.0418,-1.2927,40.0215,39.9783,-0.0465,-1.2927,0.0038,13.1678,1
60.7409,60.1809,-0.1363,-2.4452,62.1492,54.5885,0.5204,-2.4452,0.1766,113.5276,1
179.9868,103.7513,1.1482,1.2687,216.0147,70.6456,1.7829,1.2687,1.4072,36.1187,1
76.1962,54.2701,-0.8711,1.6453,75.6645,36.1446,-1.3693,1.6453,-1.0712,25.4275,1
45.8168,45.4822,-0.1212,1.7775,83.3398,21.1673,-2.0471,1.7775,-0.8051,34.0346,1
84.8239,46.212,-1.2163,0.6898,32.3405,26.3698,-0.6608,0.6898,-1.0128,23.2444,1
110.4878,85.65,0.7443,-1.6588,43.9321,35.8893,-0.6576,-1.6588,0.2963,115.8033,1
111.5705,51.4695,-1.4088,1.679,72.4556,39.7831,-1.207,1.679,-1.3208,13.7317,1
167.2059,60.4743,1.6757,0.0557,58.758,50.6018,0.5604,0.0557,1.1631,18.7659,1
36.3197,35.9386,0.1455,1.8966,72.6043,32.0974,-1.4565,1.8966,-0.618,4.105,1
158.2261,51.2376,1.7934,1.8809,190.2033,36.7224,2.3284,1.8809,2.0177,14.5283,1
99.0669,40.8836,-1.5326,-1.2604,180.7182,36.5127,-2.2821,-1.2604,-1.8871,21.3744,1
48.3926,47.0859,-0.235,-0.0651,55.3162,36.0363,-0.9931,-0.0651,-0.5659,16.9652,1
58.3703,35.0017,-1.0993,-2.7009,36.4098,29.0399,0.6982,-2.7009,-0.2673,11.5289,1
50.7681,50.3661,-0.1263,0.9671,43.475,42.659,0.1953,0.9671,0.0213,8.3715,1
87.8068,45.1677,1.284,0.8014,45.4825,44.0112,0.2579,0.8014,0.7771,14.0764,1
71.0181,43.936,-1.06,-0.0454,49.7389,39.1981,-0.7179,-0.0454,-0.8986,4.7387,1
94.3404,39.4996,1.5167,-3.0443,40.3386,38.0881,0.3421,-3.0443,0.939,3.488,1
52.1578,48.0149,0.4125,1.1717,41.1774,32.8614,-0.6972,1.1717,-0.0476,16.3456,1
83.9212,43.9747,-1.2624,0.4806,162.6386,38.9302,-2.1083,0.4806,-1.661,7.1062,1
200.2446,41.1695,-2.2643,2.9247,145.3896,41.0967,-1.936,2.9247,-2.1003,1.1641,1
175.3178,32.2587,2.3774,-1.4201,37.6786,32.041,0.5848,-1.4201,1.4835,4.9211,1
48.5826,47.2241,0.2393,-2.1133,50.9384,38.6502,0.7777,-2.1133,0.4822,9.6543,1
34.0612,30.9324,0.4461,1.3937,70.8782,29.0085,-1.5417,1.3937,-0.5235,6.7812,1
125.1153,70.0069,-1.1843,1.0167,68.5525,45.3474,-0.9728,1.0167,-1.1011,25.9816,1
60.464,50.5359,0.617,1.2747,55.9482,39.0552,-0.8995,1.2747,-0.059,27.6096,1
42.475,42.1362,0.1267,-2.3663,37.3536,35.6334,0.3095,-2.3663,0.2105,9.5444,1
136.8919,48.2694,1.7029,-3.0061,149.3135,37.9046,2.0476,-3.0061,1.8547,19.1147,1
133.6245,45.5442,1.7391,0.9411,103.4691,45.0232,1.4741,0.9411,1.6074,2.6189,1
45.1391,42.75,-0.3328,-1.8072,100.3648,33.2499,-1.7693,-1.8072,-0.9739,20.8824,1
50.5738,49.556,-0.2023,-0.1683,48.9753,43.4279,-0.5002,-0.1683,-0.3415,19.387,1
52.6968,52.6965,-0.0033,0.4924,41.9827,41.6066,0.1344,0.4924,0.0575,11.0919,1
53.5028,45.9226,0.5669,-1.4282,44.6141,44.46,0.0832,-1.4282,0.3289,7.6141,1
38.3291,38.295,-0.0421,-1.7336,59.5945,34.7476,1.1341,-1.7336,0.5203,3.577,1
54.9222,45.1965,0.6448,-2.4206,51.0687,38.0964,0.8035,-2.4206,0.7174,7.4838,1
69.6251,56.2496,-0.6766,0.9663,37.7927,35.4405,-0.3623,0.9663,-0.5549,20.9899,1
123.7767,53.1604,1.4886,0.7029,57.7347,38.1838,0.9731,0.7029,1.2722,19.9176,1
57.1225,38.9931,0.9304,-1.2993,202.3834,37.1011,2.3812,-1.2993,1.6403,2.2218,1
106.7179,39.7104,-1.6452,0.8706,50.7663,37.5704,-0.8154,0.8706,-1.2411,24.4709,1
102.85,34.2121,1.765,-0.7767,26.2917,25.6259,-0.2275,-0.7767,0.8782,9.0961,1
92.0088,54.1168,1.1234,-1.8179,64.1895,43.603,0.9371,-1.8179,1.0402,39.1806,1
202.7703,65.7027,1.7927,-1.0967,96.7233,48.5244,1.3131,-1.0967,1.5883,19.8483,1
335.0046,63.6329,-2.345,-2.0859,111.5417,47.2208,-1.5046,-2.0859,-1.9836,51.1993,1
64.6836,33.2285,1.2856,1.7128,36.3505,30.2938,-0.6223,1.7128,0.3659,16.5689,1
60.5881,52.0046,0.5669,2.7976,58.3688,42.4978,0.8394,2.7976,0.6895,22.0113,1
53.3328,52.0834,0.2186,2.4654,56.4162,37.9252,0.9512,2.4654,0.5297,28.755,1
50.3189,45.5119,0.4557,-2.5167,45.689,22.8075,-1.3188,-2.5167,-0.1911,23.3667,1
50.052,50.0382,0.0235,2.4759,48.4237,38.1576,0.718,2.4759,0.3257,16.6426,1
163.8473,33.0991,-2.2822,-3.0185,33.754,32.6236,-0.2625,-3.0185,-1.2779,7.0607,1
67.6765,67.3941,-0.0915,-0.2435,56.175,42.5298,-0.781,-0.2435,-0.3611,66.4136,1
52.7109,47.9789,-0.4406,0.0444,46.1638,43.7113,-0.3334,0.0444,-0.3895,10.5668,1
123.7339,47.9734,1.6007,2.0555,102.4392,47.3823,1.4058,2.0555,1.5039,10.3775,1
125.1728,48.1455,1.6094,1.7676,68.1512,45.0193,0.9747,1.7676,1.3023,4.952,1
244.8686,48.8585,2.2948,-0.0252,207.68,40.7403,2.3122,-0.0252,2.3027,14.4312,1
142.5939,47.1418,-1.7715,2.172,85.3493,42.8377,-1.3126,2.172,-1.5528,5.859,1
103.3803,63.0456,1.0782,-2.8681,69.3937,26.7563,1.6067,-2.8681,1.2377,38.3264,1
58.9827,47.4396,0.6842,0.6829,80.1128,39.3564,1.3373,0.6829,0.9813,16.8734,1
39.2059,39.1151,-0.0681,-1.6278,76.5881,25.0485,1.7829,-1.6278,0.6963,21.4288,1
67.4852,45.0341,0.9611,3.0317,79.6835,44.8414,1.1774,3.0317,1.069,6.9277,1
60.7716,42.7398,0.889,0.1706,36.7692,35.5135,-0.2651,0.1706,0.36,8.2111,1
116.7324,94.9392,0.6652,2.0476,54.5311,50.6622,0.3884,2.0476,0.5687,124.1377,1
114.1405,45.7974,1.5634,-0.5251,28.4365,28.3397,0.0826,-0.5251,0.9723,17.4939,1
64.2164,63.1174,-0.1863,3.1139,36.7688,35.4447,-0.2725,3.1139,-0.2173,35.428,1
38.4184,37.8133,-0.1787,1.1047,94.8048,34.7621,-1.661,1.1047,-0.8933,6.0259,1
63.8789,40.8117,-1.0186,0.4194,53.1828,37.3024,-0.8928,0.4194,-0.9585,3.6588,1
77.7265,46.0828,-1.1135,2.1812,78.9088,43.3152,-1.2073,2.1812,-1.1589,3.0714,1
56.6199,44.3694,-0.727,0.0916,40.6681,40.6198,-0.0487,0.0916,-0.4023,6.4657,1
41.9974,41.6947,-0.1204,-0.5063,87.5478,30.2857,-1.7233,-0.5063,-0.8161,20.206,1
164.7812,46.0553,-1.9478,-0.8863,80.8173,41.6912,-1.2807,-0.8863,-1.6302,19.0745,1
51.2459,51.0397,0.0898,0.5044,40.2377,39.9238,-0.1253,0.5044,-0.0046,12.322,1
43.3135,41.7836,0.2698,1.6781,38.4718,37.8424,-0.1821,1.6781,0.0548,5.8547,1
98.7815,62.6288,1.0285,2.1158,87.7448,51.7752,1.1194,2.1158,1.0697,69.9024,1
145.4943,47.9941,1.7738,-1.9705,102.5657,43.0812,1.5132,-1.9705,1.6505,5.477,1
151.7702,49.3631,1.7887,-0.4981,94.3776,42.6503,1.4319,-0.4981,1.6232,14.6706,1
270.6555,70.9419,-2.0145,-2.2904,26.8738,22.8921,-0.5816,-2.2904,-1.6239,71.5968,1
49.5247,47.9585,-0.2549,2.6504,41.9412,39.9171,0.3171,2.6504,0.0056,17.811,1
39.6502,37.3882,0.3461,-1.0733,120.9596,32.4258,1.9912,-1.0733,1.1205,6.4472,1
168.1286,73.6695,-1.4664,3.0565,153.2074,36.5822,-2.1108,3.0565,-1.6834,66.7923,1
57.4311,27.1434,1.3814,-2.6077,36.2491,20.7688,-1.1556,-2.6077,0.2269,7.8174,1
46.0004,32.3174,0.8905,2.9463,38.928,25.0834,1.0075,2.9463,0.9416,33.8285,1
51.1158,37.1234,-0.843,-2.0219,46.2642,24.342,1.2576,-2.0219,0.0432,27.8221,1
128.6287,99.367,0.7498,-2.8809,33.4442,24.0729,0.856,-2.8809,0.7705,81.6428,1
65.3103,38.4327,1.1228,-2.4709,36.3979,36.3085,-0.0702,-2.4709,0.5415,5.474,1
168.3739,41.0472,-2.0894,1.2429,34.9982,25.0324,-0.8651,1.2429,-1.6103,25.8216,1
169.1471,48.3115,1.9252,-2.7286,194.752,42.347,2.2069,-2.7286,2.0569,16.7822,1
55.1368,41.5898,0.7867,1.0535,38.2745,35.3923,-0.4009,1.0535,0.2358,7.9397,1
